data_inicio_atividade,uf,quantidade
2018-05-01,ES,3
2018-05-01,GO,17
2018-05-01,MA,5
2018-05-01,MG,39
2018-05-01,MS,7
2018-05-01,MT,11
2018-05-01,PA,4
2018-05-01,PB,4
2018-05-01,PE,15
2018-05-01,PI,2
2018-05-01,PR,22
2018-05-01,RJ,42
2018-05-01,RN,3
2018-05-01,RO,1
2018-05-01,RR,2
2018-05-01,RS,10
2018-05-01,SC,8
2018-05-01,SE,2
2018-05-01,SP,95
2018-05-01,TO,1
2018-06-01,AL,3
2018-06-01,AM,3
2018-06-01,BA,13
2018-06-01,CE,6
2018-06-01,DF,1
2018-06-01,ES,9
2018-06-01,GO,12
2018-06-01,MA,7
2018-06-01,MG,32
2018-06-01,MS,5
2018-06-01,MT,6
2018-06-01,PA,6
2018-06-01,PB,1
2018-06-01,PE,9
2018-06-01,PI,4
2018-06-01,PR,13
2018-06-01,RJ,31
2018-06-01,RN,8
2018-06-01,RO,1
2018-06-01,RS,15
2018-06-01,SC,9
2018-06-01,SE,4
2018-06-01,SP,78
2018-06-01,TO,2
2018-07-01,AC,1
2018-07-01,AL,5
2018-07-01,AM,5
2018-07-01,AP,1
2018-07-01,BA,19
2018-07-01,CE,9
2018-07-01,DF,2
2018-07-01,ES,4
2018-07-01,GO,9
2018-07-01,MG,49
2018-07-01,MS,7
2018-07-01,MT,6
2018-07-01,PA,3
2018-07-01,PB,4
2018-07-01,PE,10
2018-07-01,PI,3
2018-07-01,PR,15
2018-07-01,RJ,30
2018-07-01,RN,2
2018-07-01,RO,1
2018-07-01,RR,1
2018-07-01,RS,11
2018-07-01,SC,12
2018-07-01,SE,1
2018-07-01,SP,100
2018-08-01,AC,4
2018-08-01,AL,2
2018-08-01,AM,2
2018-08-01,BA,16
2018-08-01,CE,11
2018-08-01,DF,5
2018-08-01,ES,11
2018-08-01,GO,18
2018-08-01,MA,1
2018-08-01,MG,32
2018-08-01,MS,5
2018-08-01,MT,5
2018-08-01,PA,4
2018-08-01,PB,2
2018-08-01,PE,6
2018-08-01,PI,2
2018-08-01,PR,14
2018-08-01,RJ,42
2018-08-01,RN,4
2018-08-01,RO,2
2018-08-01,RR,1
2018-08-01,RS,19
2018-08-01,SC,14
2018-08-01,SE,1
2018-08-01,SP,95
2018-08-01,TO,2
2018-09-01,AM,2
2018-09-01,AP,2
2018-09-01,BA,22
2018-09-01,CE,10
2018-09-01,DF,7
2018-09-01,ES,10
2018-09-01,GO,9
2018-09-01,MA,3
2018-09-01,MG,23
2018-09-01,MS,2
2018-09-01,MT,5
2018-09-01,PA,9
2018-09-01,PB,3
2018-09-01,PE,11
2018-09-01,PI,4
2018-09-01,PR,21
2018-09-01,RJ,42
2018-09-01,RN,2
2018-09-01,RS,13
2018-09-01,SC,15
2018-09-01,SE,3
2018-09-01,SP,83
2018-10-01,AC,1
2018-10-01,AL,1
2018-10-01,AM,4
2018-10-01,BA,17
2018-10-01,CE,13
2018-10-01,DF,5
2018-10-01,ES,8
2018-10-01,GO,8
2018-10-01,MA,2
2018-10-01,MG,36
2018-10-01,MS,4
2018-10-01,MT,5
2018-10-01,PA,10
2018-10-01,PB,5
2018-10-01,PE,6
2018-10-01,PI,2
2018-10-01,PR,14
2018-10-01,RJ,45
2018-10-01,RN,2
2018-10-01,RO,2
2018-10-01,RR,1
2018-10-01,RS,23
2018-10-01,SC,17
2018-10-01,SE,1
2018-10-01,SP,90
2018-10-01,TO,2
2018-11-01,AL,4
2018-11-01,AP,1
2018-11-01,BA,14
2018-11-01,CE,6
2018-11-01,DF,6
2018-11-01,ES,10
2018-11-01,GO,8
2018-11-01,MA,2
2018-11-01,MG,34
2018-11-01,MS,6
2018-11-01,MT,2
2018-11-01,PA,3
2018-11-01,PB,3
2018-11-01,PE,11
2018-11-01,PI,2
2018-11-01,PR,9
2018-11-01,RJ,50
2018-11-01,RN,1
2018-11-01,RO,2
2018-11-01,RS,19
2018-11-01,SC,14
2018-11-01,SE,3
2018-11-01,SP,94
2018-11-01,TO,2
2018-12-01,AC,1
2018-12-01,AL,6
2018-12-01,AM,3
2018-12-01,AP,2
2018-12-01,BA,16
2018-12-01,CE,7
2018-12-01,DF,5
2018-12-01,ES,5
2018-12-01,GO,7
2018-12-01,MA,5
2018-12-01,MG,26
2018-12-01,MS,3
2018-12-01,MT,1
2018-12-01,PA,6
2018-12-01,PB,4
2018-12-01,PE,6
2018-12-01,PR,10
2018-12-01,RJ,28
2018-12-01,RN,2
2018-12-01,RO,1
2018-12-01,RS,9
2018-12-01,SC,10
2018-12-01,SE,2
2018-12-01,SP,50
2018-12-01,TO,1
2019-01-01,AC,2
2019-01-01,AL,3
2019-01-01,AM,5
2019-01-01,BA,15
2019-01-01,CE,13
2019-01-01,DF,6
2019-01-01,ES,7
2019-01-01,GO,13
2019-01-01,MA,1
2019-01-01,MG,39
2019-01-01,MS,5
2019-01-01,MT,10
2019-01-01,PA,4
2019-01-01,PB,9
2019-01-01,PE,10
2019-01-01,PI,1
2019-01-01,PR,17
2019-01-01,RJ,38
